Date,TargetDate,Close,target_log_ret,target_simple_ret,pred_log_ret,ridge_position,turnover,transaction_cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown,macd_line,macd_signal,macd_histogram,macd_position,actual_up,ridge_forecast_up,macd_forecast_up,macd_score
2025-12-09,2025-12-10,1747.17,-0.0162662444296577,-0.0161346634843776,0.0021914176475108,1.0,0.0,0.0,-0.0161346634843776,-0.0161346634843776,1.331510252393203,1.5822134678399191,-0.0198204979073294,-0.0270934148343094,23.72278962509654,14.210504425529612,9.512285199566929,1.0,False,True,True,0.0054443959085646665
2025-12-10,2025-12-11,1718.98,-0.0117501088559768,-0.0116813459144375,-0.0042037249718996,0.0,1.0,0.0005,-0.0005,-0.0116813459144375,1.3308444972670064,1.563731085011599,-0.0203105876583757,-0.0384582731980641,22.28342137119012,15.825087814661714,6.458333556528402,1.0,False,False,True,0.0037570731227404633
2025-12-11,2025-12-12,1698.9,-0.0310923219402274,-0.0306139266584259,-0.0032815871441078,0.0,0.0,0.0,-0.0,-0.0306139266584259,1.3308444972670064,1.515859136261553,-0.0203105876583757,-0.0678948411013949,19.29994571503903,16.520059394737178,2.779886320301852,1.0,False,False,True,0.0016362860205437941
2025-12-12,2025-12-15,1646.89,-0.0005344832949374,-0.0005343404841854,-0.003833294489301,0.0,0.0,0.0,-0.0,-0.0005343404841854,1.3308444972670064,1.515049151356726,-0.0203105876583757,-0.0683929026233125,12.593576517598194,15.73476281930938,-3.141186301711187,0.0,False,False,False,-0.0019073443288326402
2025-12-15,2025-12-16,1646.01,0.0199514014492496,0.0201517609249033,-0.0027545368434509,0.0,0.0,0.0,0.0,0.0201517609249033,1.3308444972670064,1.5455800596443443,-0.0203105876583757,-0.0496193791210344,7.125582684644769,14.01292679237646,-6.887344107731691,0.0,True,False,False,-0.004184266260673805
2025-12-16,2025-12-17,1679.18,-0.0032927339135557,-0.0032873188103716,0.0033973860082198,1.0,1.0,0.0005,-0.0037873188103716,-0.0032873188103716,1.3258041648688277,1.5404992452413402,-0.0240209837980591,-0.0527435832130626,5.406378596893092,12.291617153279788,-6.885238556386696,0.0,False,True,False,-0.004100357648606281
2025-12-17,2025-12-18,1673.66,0.0019817116052571,0.0019836764934335,-0.0050972450448929,0.0,1.0,0.0005,-0.0005,0.0019836764934335,1.3251412627863932,1.5435550973822776,-0.0245089733061599,-0.0508645329258282,3.5574707948439936,10.54478788159263,-6.987317086748636,0.0,True,False,False,-0.0041748724870933375
2025-12-18,2025-12-19,1676.98,0.0161657800319101,0.0162971532158999,-0.0035170075260863,0.0,0.0,0.0,0.0,0.0162971532158999,1.3251412627863932,1.5687106513015,-0.0245089733061599,-0.0353963267962758,2.3331986331834287,8.90247003191079,-6.569271398727361,0.0,True,False,False,-0.003917322447928634
2025-12-19,2025-12-22,1704.31,0.0270438494803366,0.0274128532954684,0.0054799632292794,1.0,1.0,0.0005,0.0269128532954684,0.0274128532954684,1.3608045951875354,1.6117134862486668,0.0,-0.0089537878144719,3.527592824096928,7.827494590348017,-4.299901766251089,0.0,True,True,False,-0.0025229575407355997
2025-12-22,2025-12-23,1751.03,0.0119893124893728,0.0120614723905358,0.007988318966666,1.0,0.0,0.0,0.0120614723905358,0.0120614723905358,1.3772179022413042,1.6311531239645094,0.0,0.0,8.150122827529458,7.892020237784306,0.2581025897451523,1.0,True,True,True,0.00014740043845345443
