Date,TargetDate,Close,target_log_ret,target_simple_ret,pred_log_ret,position,turnover,transaction_cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown,year,strategy_name,Open,High,Low,Volume,SourceLine,macd_line,macd_signal
2009-07-20,2009-07-21,412.9,0.008440903848769313,0.00847662872366195,,0.0,0.0,0.0,0.0,0.00847662872366195,1.6479031140229539,1.3193916349809887,-0.07948487804878024,-0.18751219512195094,2009,MACD 12/26/9,413.8,413.8,411.4,28422960.0,2071.0,-6.091465519286601,-2.06124989498646
2009-07-21,2009-07-22,416.4,0.00741718916644705,0.0074447646493756015,,0.0,0.0,0.0,0.0,0.0074447646493756015,1.6479031140229539,1.329214195183777,-0.07948487804878024,-0.18146341463414606,2009,MACD 12/26/9,413.0,418.2,412.2,2545250.0,2072.0,-6.938100103208171,-3.036619936630802
2009-07-22,2009-07-23,419.5,0.034441731536930684,0.035041716328963135,,0.0,0.0,0.0,0.0,0.035041716328963135,1.6479031140229539,1.375792141951838,-0.07948487804878024,-0.15278048780487763,2009,MACD 12/26/9,423.4,423.4,419.1,19832810.0,2073.0,-7.27505768202758,-3.884307485710158
2009-07-23,2009-07-24,434.2,0.046132603386773316,0.047213265776139934,,0.0,0.0,0.0,0.0,0.047213265776139934,1.6479031140229539,1.440747782002535,-0.07948487804878024,-0.1127804878048777,2009,MACD 12/26/9,417.6,434.2,417.2,2490064.0,2074.0,-6.283499572190578,-4.364145903006243
2009-07-24,2009-07-27,454.7,0.03245633220198458,0.03298878381350345,,1.0,1.0,0.0005,0.03248878381350345,0.03298878381350345,1.7014414820400448,1.4882762991128011,-0.04957846125464627,-0.08351219512195085,2009,MACD 12/26/9,445.0,454.7,445.0,26118290.0,2075.0,-3.7997033371651128,-4.251257389838017
2009-07-27,2009-07-28,469.7,-0.014367138946715336,-0.01426442410048967,,1.0,0.0,0.0,-0.01426442410048967,-0.01426442410048967,1.67717139915806,1.4670468948035489,-0.06313567715754997,-0.09658536585365818,2009,MACD 12/26/9,462.2,470.2,460.2,60803472.0,2076.0,-0.613826476821373,-3.523771207234688
2009-07-28,2009-07-29,463.0,-0.010857869972049069,-0.010799136069114423,,1.0,0.0,0.0,-0.010799136069114423,-0.010799136069114423,1.659059397007325,1.4512040557667936,-0.0732530024582243,-0.1063414634146338,2009,MACD 12/26/9,467.3,472.6,462.7,60977440.0,2077.0,1.354753131445932,-2.5480663394985643
2009-07-29,2009-07-30,458.0,-0.013408267696951007,-0.013318777292576467,,1.0,0.0,0.0,-0.013318777292576467,-0.013318777292576467,1.6369627543834284,1.4318757921419518,-0.08559613932504706,-0.11824390243902416,2009,MACD 12/26/9,464.4,470.2,458.0,3523960.0,2078.0,2.482788401382436,-1.541895391322364
2009-07-30,2009-07-31,451.9,0.03243998399516698,0.03297189643726495,,1.0,0.0,0.0,0.03297189643726495,0.03297189643726495,1.6909365207926188,1.479087452471483,-0.05544650992903721,-0.08917073170731671,2009,MACD 12/26/9,451.8,455.2,444.9,3131660.0,2079.0,2.8516731467585714,-0.6631816837061771
2009-07-31,2009-08-03,466.8,0.0023536974597696426,0.0023564695801199242,,1.0,0.0,0.0,0.0023564695801199242,0.0023564695801199242,1.6949211612657804,1.4825728770595692,-0.053220698362888896,-0.08702439024390207,2009,MACD 12/26/9,457.6,466.8,457.6,38149980.0,2080.0,4.296791700580229,0.3288129931511041
2009-08-03,2009-08-04,467.9,0.018422966792471258,0.01859371660611253,,1.0,0.0,0.0,0.01859371660611253,0.01859371660611253,1.7264360450080596,1.5101394169835238,-0.03561655233971528,-0.07004878048780439,2009,MACD 12/26/9,466.8,473.2,465.4,34165192.0,2081.0,5.467790092314203,1.356608412983724
2009-08-04,2009-08-05,476.6,0.009813211644421987,0.009861519093579574,,1.0,0.0,0.0,0.009861519093579574,0.009861519093579574,1.7434613270297505,1.525031685678074,-0.02610626655708137,-0.060878048780487304,2009,MACD 12/26/9,475.1,477.6,472.6,45312632.0,2082.0,7.016945070540942,2.4886757444951675
2009-08-05,2009-08-06,481.3,0.00020774903990773932,0.0002077706212340047,,1.0,0.0,0.0,0.0002077706212340047,0.0002077706212340047,1.7438235670727649,1.5253485424588087,-0.025903920051068008,-0.0606829268292679,2009,MACD 12/26/9,474.4,481.3,472.3,40595392.0,2083.0,8.525634069772252,3.6960674095505848
2009-08-06,2009-08-07,481.4,-0.0016632020466029744,-0.0016618196925632933,,1.0,0.0,0.0,-0.0016618196925632933,-0.0016618196925632933,1.7409256467286474,1.522813688212928,-0.027522692099175905,-0.062243902439024,2009,MACD 12/26/9,481.6,491.0,481.3,59927752.0,2084.0,9.618474350426197,4.880548797725708
2009-08-07,2009-08-10,480.6,0.021816053530564077,0.022055763628797243,,1.0,0.0,0.0,0.022055763628797243,0.022055763628797243,1.7793230912882054,1.5564005069708493,-0.006073962461746185,-0.04156097560975569,2009,MACD 12/26/9,480.4,483.5,478.6,41578608.0,2085.0,10.301258338397986,5.964690705860164
